Product_ID,Price
D&G_1,€345
D&G_2,€345
D&G_3,€285
D&G_4,€315
D&G_5,€345
D&G_6,€345
D&G_7,€345
D&G_8,€345
D&G_9,€345
D&G_10,€345
D&G_11,€345
D&G_12,€475
D&G_13,€315
D&G_14,€315
D&G_15,€285
D&G_16,€285
D&G_17,€240
D&G_18,€240
D&G_19,€240
D&G_20,€240
D&G_21,€240
D&G_22,€310
D&G_23,€285
D&G_24,€325
D&G_25,€345
D&G_26,€345
D&G_27,€345
D&G_28,€315
D&G_29,€345
D&G_30,€285
D&G_31,€315
D&G_32,€315
D&G_33,€285
D&G_34,€285
D&G_35,€285
D&G_36,€265
D&G_37,€315
D&G_38,€315
D&G_39,€315
D&G_40,€265
D&G_41,€265
D&G_42,€265
D&G_43,€315
D&G_44,€315
D&G_45,€265
D&G_46,€265
D&G_47,€265
D&G_48,€370
D&G_49,€285
D&G_50,€285
D&G_51,€315
D&G_52,€315
D&G_53,€370
D&G_54,€370
D&G_55,€475
D&G_56,€475
D&G_57,€315
D&G_58,€370
D&G_59,€370
D&G_60,€315
D&G_61,€315
D&G_62,€350
D&G_63,€350
D&G_64,€775
D&G_65,€285
D&G_66,€285
D&G_67,€285
D&G_68,€315
D&G_69,€315
D&G_70,€315
D&G_71,€265
D&G_72,€315
D&G_73,€315
D&G_74,€265
D&G_75,€265
D&G_76,€475
D&G_77,€315
D&G_78,€315
D&G_79,€345
D&G_80,€370
D&G_81,€230
D&G_82,€230
D&G_83,€315
D&G_84,€370
D&G_85,€370
D&G_86,€370
D&G_87,€285
D&G_88,€285
D&G_89,€345
D&G_90,€345
D&G_91,€475
D&G_92,€525
D&G_93,€475
D&G_94,€475
D&G_95,€350
D&G_96,€315
D&G_97,€315
D&G_98,€345
D&G_99,€345
D&G_100,€350
D&G_101,€285
D&G_102,€285
D&G_103,€285
D&G_104,€285
D&G_105,€240
D&G_106,€240
D&G_107,€240
D&G_108,€285
D&G_109,€370
D&G_110,€300
D&G_111,€300
D&G_112,€285
D&G_113,€285
D&G_114,€240
D&G_115,€240
D&G_116,€285
D&G_117,€370
D&G_118,€310
D&G_119,€325
D&G_120,€220
D&G_121,€350
D&G_122,€350
D&G_123,€370
D&G_124,€285
D&G_125,€220
D&G_126,€285
D&G_127,€285
D&G_128,€240
D&G_129,€240
D&G_130,€320
D&G_131,€320
D&G_132,€325
D&G_133,€285
D&G_134,€370
D&G_135,€285
D&G_136,€315
D&G_137,€285
D&G_138,€370
D&G_139,€370
D&G_140,€240
D&G_141,€305
D&G_142,€265
D&G_143,€285
D&G_144,€270
D&G_145,€285
D&G_146,€285
D&G_147,€800
D&G_148,€800
D&G_149,€704
D&G_150,€685
D&G_151,€345
D&G_152,€315
D&G_153,€260
D&G_154,€280
D&G_155,€285
D&G_156,€285
D&G_157,€300
D&G_158,€265
D&G_159,€265
D&G_160,€230
D&G_161,€200
